,predict_month,tc_id,tc_name,carton_num,predict_type,weight,volume
11,2017-12-01,56,,56895,TC正向,378388.68924,2228.38841887
0,2017-01-01,57,,116133,TC正向,1100509.20168,2740.05623396
1,2017-02-01,57,,144002,TC正向,999946.386732,4533.59258641
2,2017-03-01,57,,109175,TC正向,947775.493829,3710.29685432
3,2017-04-01,57,,137747,TC正向,972987.077197,3794.66212757
4,2017-05-01,57,,142830,TC正向,871529.949052,2025.78892644
5,2017-06-01,57,,131809,TC正向,1017982.95055,2609.68507658
6,2017-07-01,57,,148160,TC正向,1375117.09668,5690.88912886
7,2017-08-01,57,,120255,TC正向,1104934.18478,3411.21846094
8,2017-09-01,57,,142810,TC正向,1094044.8584,2890.83413475
9,2017-10-01,57,,169211,TC正向,1188355.70545,4640.33314358
10,2017-11-01,57,,145383,TC正向,1363540.80933,3661.74753136
11,2017-12-01,57,,168773,TC正向,1529976.12142,3632.09341037
0,2017-01-01,355,,498706,TC正向,3771166.73735,18550.4326213
1,2017-02-01,355,,107788,TC正向,973417.117908,4651.46766428
2,2017-03-01,355,,206387,TC正向,2054809.7223,7791.2200346
3,2017-04-01,355,,210658,TC正向,1768730.10435,9459.50126124
4,2017-05-01,355,,265833,TC正向,2591037.81807,13481.6873301
5,2017-06-01,355,,216303,TC正向,1905115.5068,8380.04707964
6,2017-07-01,355,,209716,TC正向,1513483.85846,8300.27534754
7,2017-08-01,355,,237890,TC正向,2246314.66651,10878.0148899
8,2017-09-01,355,,272957,TC正向,2698517.45992,12753.981197
9,2017-10-01,355,,340292,TC正向,2559007.51108,16810.162133
10,2017-11-01,355,,257099,TC正向,1928221.42982,12072.202899
11,2017-12-01,355,,310328,TC正向,2186887.29648,17264.6866646
0,2017-01-01,379,,44492,TC正向,513667.352385,1801.41194388
1,2017-02-01,379,,44759,TC正向,410579.273347,1486.05414416
2,2017-03-01,379,,38356,TC正向,526982.252274,1213.44015303
3,2017-04-01,379,,41875,TC正向,350624.489504,2113.98444599
4,2017-05-01,379,,46034,TC正向,399874.207689,1314.10090098
5,2017-06-01,379,,62627,TC正向,501968.138319,4030.07839255
6,2017-07-01,379,,69893,TC正向,649282.089121,5485.66967121
7,2017-08-01,379,,49277,TC正向,489768.079709,1115.63853985
8,2017-09-01,379,,63572,TC正向,695587.601369,2340.17162478
9,2017-10-01,379,,60645,TC正向,708190.353752,2472.02891001
10,2017-11-01,379,,46410,TC正向,592042.193555,2297.91947728
11,2017-12-01,379,,72094,TC正向,708782.579117,1742.49335991
0,2017-01-01,388,,6698,TC正向,66203.5447537,402.900742068
1,2017-02-01,388,,5416,TC正向,45623.8688588,143.650866465
2,2017-03-01,388,,7393,TC正向,70147.8612816,247.114698146
