,pred_type,ID,ds,numbox,weight,bulk
45,zhongzhuang,50,2015-2-4,130,1103.65,4.6701
46,zhongzhuang,50,2015-2-5,171,1231.02,7.0783
47,zhongzhuang,50,2015-2-6,188,1198.5,10.3331
48,zhongzhuang,50,2015-2-7,22,287.65,0.4128
49,zhongzhuang,50,2015-2-8,29,128,0.507
50,zhongzhuang,50,2015-2-9,52,258.84,1.233
51,zhongzhuang,50,2015-2-10,51,2025.5,4.72
52,zhongzhuang,50,2015-2-11,52,574,1.7631
53,zhongzhuang,50,2015-2-12,10,79.92,0.617
54,zhongzhuang,50,2015-2-14,90,473.24,3.5274
55,zhongzhuang,50,2015-2-16,161,1901.1,10.942799
56,zhongzhuang,50,2015-2-27,83,225.27,2.763
57,zhongzhuang,50,2015-2-28,437,2777.95,19.495
58,zhongzhuang,50,2015-3-3,269,1904.04,7.3211
59,zhongzhuang,50,2015-3-4,1,2,0.0168
60,zhongzhuang,50,2015-3-5,176,1401.36,9.8672
61,zhongzhuang,50,2015-3-6,178,1114.65,5.370599
62,zhongzhuang,50,2015-3-7,121,894.46,6.747399
63,zhongzhuang,50,2015-3-8,27,380.94,0.6775
64,zhongzhuang,50,2015-3-9,155,1448.98,4.5656
65,zhongzhuang,50,2015-3-10,249,1682.91,9.3217
66,zhongzhuang,50,2015-3-11,16,73,0.4404
67,zhongzhuang,50,2015-3-12,220,1729.5,8.4966
68,zhongzhuang,50,2015-3-13,111,812.5,4.1954
69,zhongzhuang,50,2015-3-14,109,747.85,4.0257
70,zhongzhuang,50,2015-3-15,6,67.5,0.2199
71,zhongzhuang,50,2015-3-16,176,1510.55,4.4557
72,zhongzhuang,50,2015-3-18,6,56.5,0.2233
73,zhongzhuang,50,2015-3-19,52,578.72,3.1079
74,zhongzhuang,50,2015-3-20,67,400.56,3.596399
75,zhongzhuang,50,2015-3-21,189,1195.5,9.359999
76,zhongzhuang,50,2015-3-22,37,244.06,0.8953
77,zhongzhuang,50,2015-3-23,163,998.51,4.4571
78,zhongzhuang,50,2015-3-24,882,6931,35.098499
79,zhongzhuang,50,2015-3-25,457,2899.34,15.692899
80,zhongzhuang,50,2015-3-26,632,2199.839,8.9517
81,zhongzhuang,50,2015-3-28,159,526.02,4.3764
82,zhongzhuang,50,2015-3-29,389,2053.66,10.675899
83,zhongzhuang,50,2015-3-30,374,5630.15,20.477299
84,zhongzhuang,50,2015-4-1,236,3771,7.292
85,zhongzhuang,50,2015-4-2,214,2185,21.3679
86,zhongzhuang,50,2015-4-3,71,384.21,2.6458
87,zhongzhuang,50,2015-4-4,461,3717.169,24.04
88,zhongzhuang,50,2015-4-5,31,299,2.2113
89,zhongzhuang,50,2015-4-6,312,3837,10.4049
90,zhongzhuang,50,2015-4-7,637,5940.8,46.927297
91,zhongzhuang,50,2015-4-8,325,3604.94,13.1701
92,zhongzhuang,50,2015-4-9,124,1238.5,5.281
93,zhongzhuang,50,2015-4-10,136,2007.35,10.5693
94,zhongzhuang,50,2015-4-11,213,1872.53,10.6787
95,zhongzhuang,50,2015-4-12,294,3043.5,16.708899
96,zhongzhuang,50,2015-4-13,228,1291.2,8.4435
97,zhongzhuang,50,2015-4-14,188,1638.45,11.194
98,zhongzhuang,50,2015-4-15,1842,11236.829,87.6319
99,zhongzhuang,50,2015-4-16,150,927.07,4.8576
100,zhongzhuang,50,2015-4-17,412,3792,16.2804
101,zhongzhuang,50,2015-4-18,463,5532.5,23.0379
102,zhongzhuang,50,2015-4-19,204,3320.3,14.5172
103,zhongzhuang,50,2015-4-20,142,1098.3,7.7334
104,zhongzhuang,50,2015-4-21,232,1942.14,8.5406
105,zhongzhuang,50,2015-4-22,26,114.01,1.1007
106,zhongzhuang,50,2015-4-23,322,2102.59,8.985799
107,zhongzhuang,50,2015-4-24,216,1085.7,9.0083
108,zhongzhuang,50,2015-4-25,456,3919.5,21.650398
109,zhongzhuang,50,2015-4-26,80,5865.5,40.9971
110,zhongzhuang,50,2015-4-27,332,9776,59.2351
111,zhongzhuang,50,2015-4-28,7,118,0.2294
112,zhongzhuang,50,2015-4-29,121,372.36,2.8295
113,zhongzhuang,50,2015-4-30,299,1761.3,10.1273
114,zhongzhuang,50,2015-5-1,18,117,1.1656
115,zhongzhuang,50,2015-5-2,95,678,4.1387
116,zhongzhuang,50,2015-5-3,138,850.59,5.7237
117,zhongzhuang,50,2015-5-4,1528,5821,36.0141
118,zhongzhuang,50,2015-5-5,166,4572.31,20.2523
119,zhongzhuang,50,2015-5-7,96,653.8,9.5385
120,zhongzhuang,50,2015-5-8,68,379.48,2.3305
121,zhongzhuang,50,2015-5-9,628,4419.84,29.426698
122,zhongzhuang,50,2015-5-10,73,404,2.451199
123,zhongzhuang,50,2015-5-11,315,1621.67,16.807699
124,zhongzhuang,50,2015-5-12,2665,7291.28,65.974699
125,zhongzhuang,50,2015-5-13,721,4746.37,31.350999
126,zhongzhuang,50,2015-5-14,264,1406.98,7.9977
127,zhongzhuang,50,2015-5-15,45,438.119,2.6651
128,zhongzhuang,50,2015-5-16,51,538,2.4956
129,zhongzhuang,50,2015-5-17,154,1256.46,6.096899
130,zhongzhuang,50,2015-5-18,418,2409.38,15.3468
131,zhongzhuang,50,2015-5-19,1100,5468.51,68.868099
132,zhongzhuang,50,2015-5-20,621,2415.6,42.241
133,zhongzhuang,50,2015-5-21,1149,11544.89,65.726399
134,zhongzhuang,50,2015-5-22,206,1219.47,6.3199
135,zhongzhuang,50,2015-5-23,769,8716.06,45.968199
