,pred_type,ID,ds,numbox,weight,bulk
105,zhongzhuang,50,2015-04-22,26,114.01,1.1007
106,zhongzhuang,50,2015-04-23,322,2102.59,8.985799
107,zhongzhuang,50,2015-04-24,216,1085.7,9.0083
108,zhongzhuang,50,2015-04-25,456,3919.5,21.650398
109,zhongzhuang,50,2015-04-26,80,5865.5,40.9971
110,zhongzhuang,50,2015-04-27,332,9776.0,59.2351
111,zhongzhuang,50,2015-04-28,7,118.0,0.2294
112,zhongzhuang,50,2015-04-29,121,372.36,2.8295
113,zhongzhuang,50,2015-04-30,299,1761.3,10.1273
114,zhongzhuang,50,2015-05-01,18,117.0,1.1656
115,zhongzhuang,50,2015-05-02,95,678.0,4.1387
116,zhongzhuang,50,2015-05-03,138,850.59,5.7237
117,zhongzhuang,50,2015-05-04,1528,5821.0,36.0141
118,zhongzhuang,50,2015-05-05,166,4572.31,20.2523
119,zhongzhuang,50,2015-05-07,96,653.8,9.5385
120,zhongzhuang,50,2015-05-08,68,379.48,2.3305
121,zhongzhuang,50,2015-05-09,628,4419.84,29.426698
122,zhongzhuang,50,2015-05-10,73,404.0,2.451199
123,zhongzhuang,50,2015-05-11,315,1621.67,16.807699
124,zhongzhuang,50,2015-05-12,2665,7291.28,65.974699
125,zhongzhuang,50,2015-05-13,721,4746.37,31.350999
126,zhongzhuang,50,2015-05-14,264,1406.98,7.9977
127,zhongzhuang,50,2015-05-15,45,438.119,2.6651
128,zhongzhuang,50,2015-05-16,51,538.0,2.4956
129,zhongzhuang,50,2015-05-17,154,1256.46,6.096899
130,zhongzhuang,50,2015-05-18,418,2409.38,15.3468
131,zhongzhuang,50,2015-05-19,1100,5468.51,68.868099
132,zhongzhuang,50,2015-05-20,621,2415.6,42.241
133,zhongzhuang,50,2015-05-21,1149,11544.89,65.726399
134,zhongzhuang,50,2015-05-22,206,1219.47,6.3199
135,zhongzhuang,50,2015-05-23,769,8716.06,45.968199
136,zhongzhuang,50,2015-05-24,829,7005.97,41.166899
137,zhongzhuang,50,2015-05-25,478,4298.47,22.9896
138,zhongzhuang,50,2015-05-26,538,4659.5,39.633199
