,pred_type,id,name,ds,numbox,weight,bulk
87,zhongzhuang,52,,2016-06,1338,12207.173,89.346098
88,zhongzhuang,52,,2016-07,2610,20392.715,139.879098
89,zhongzhuang,52,,2016-08,1360,11076.18,66.020599
90,zhongzhuang,52,,2016-09,671,4834.858,35.397995
91,zhongzhuang,52,,2016-10,1128,7616.817,35.654194
92,zhongzhuang,52,,2016-11,1059,8531.927,71.167194
93,zhongzhuang,52,,2016-12,1162,8066.32,52.926195
94,zhongzhuang,52,,2017-01,1491,10683.36,77.285798
95,zhongzhuang,52,,2017-02,1768,18957.95,145.8663
96,zhongzhuang,52,,2017-03,2371,20419.387,176.570794
97,zhongzhuang,52,,2017-04,2468,21909.269,193.702697
98,zhongzhuang,52,,2017-05,4558,35125.172,201.820897
99,zhongzhuang,52,,2017-06,3459,23816.224,74.216496
100,zhongzhuang,52,,2017-07,2010,15114.454,90.535497
101,zhongzhuang,52,,2017-08,4449,45246.414,294.039199
102,zhongzhuang,52,,2017-09,1377,13331.682,87.269599
103,zhongzhuang,53,,,2,19.5,0.1352
104,zhongzhuang,53,,2014-12,347,2426.968,20.7184
105,zhongzhuang,53,,2015-01,445,2859.472,22.848598
106,zhongzhuang,53,,2015-02,644,4171.84,29.0367
107,zhongzhuang,53,,2015-03,18183,152146.329,856.75529
108,zhongzhuang,53,,2015-04,1744,11264.588,88.293795
109,zhongzhuang,53,,2015-05,3084,20855.05,113.353092
110,zhongzhuang,53,,2015-06,13927,137877.07,619.413873
111,zhongzhuang,53,,2015-07,54584,538506.541,2368.220743
112,zhongzhuang,53,,2015-08,54703,507325.085,2517.380856
113,zhongzhuang,53,,2015-09,53624,494023.269,2421.528874
114,zhongzhuang,53,,2015-10,45690,411650.45,2143.178274
115,zhongzhuang,53,,2015-11,60239,583775.09,3059.861552
116,zhongzhuang,53,,2015-12,86568,804716.6,4424.782087
117,zhongzhuang,53,,2016-01,102480,917987.052,5784.5873
118,zhongzhuang,53,,2016-02,50012,430355.029,2692.131939
119,zhongzhuang,53,,2016-03,116572,1104947.035,6183.047928
120,zhongzhuang,53,,2016-04,140333,1304545.56,7477.216354
121,zhongzhuang,53,,2016-05,197844,1646753.548,8886.518112
122,zhongzhuang,53,,2016-06,205517,1820456.721,8630.571181
123,zhongzhuang,53,,2016-07,259227,2144794.417,10759.270916
124,zhongzhuang,53,,2016-08,305451,2617741.204,12833.532751
125,zhongzhuang,53,,2016-09,328971,2866585.061,13858.410872
126,zhongzhuang,53,,2016-10,523268,4426181.054,21982.076038
127,zhongzhuang,53,,2016-11,354722,3207367.304,15577.706953
128,zhongzhuang,53,,2016-12,474893,3942270.942,19969.48665
129,zhongzhuang,53,,2017-01,234334,1788820.896,10605.55335
130,zhongzhuang,53,,2017-02,225477,1968563.747,10548.935714
131,zhongzhuang,53,,2017-03,412549,3533932.537,18790.175153
132,zhongzhuang,53,,2017-04,459831,3910025.796,20594.067842
133,zhongzhuang,53,,2017-05,674824,5878253.771,28537.09041
134,zhongzhuang,53,,2017-06,361373,3254575.466,16314.760225
135,zhongzhuang,53,,2017-07,436956,3723386.168,18962.709667
136,zhongzhuang,53,,2017-08,483791,3985198.115,21031.891459
137,zhongzhuang,53,,2017-09,228428,2056765.543,10281.018037
138,zhongzhuang,54,,,339,2566.93,14.1687
139,zhongzhuang,54,,2014-12,205,1012.73,7.301
140,zhongzhuang,54,,2015-01,2191,13022.72,65.3312
141,zhongzhuang,54,,2015-02,1956,12767.0,95.6602
142,zhongzhuang,54,,2015-03,12139,110486.629,508.33189
143,zhongzhuang,54,,2015-04,8299,74062.03,369.999489
144,zhongzhuang,54,,2015-05,32675,290199.739,1448.010286
145,zhongzhuang,54,,2015-06,35026,341900.35,1523.77725
146,zhongzhuang,54,,2015-07,51591,458119.614,2410.89571
147,zhongzhuang,54,,2015-08,59429,529617.089,3016.479647
148,zhongzhuang,54,,2015-09,84914,742573.335,3949.5871
149,zhongzhuang,54,,2015-10,111992,975794.221,5563.002609
150,zhongzhuang,54,,2015-11,64820,546447.089,2919.859948
151,zhongzhuang,54,,2015-12,72547,615588.643,3328.460073
152,zhongzhuang,54,,2016-01,119665,919271.52,4828.911309
153,zhongzhuang,54,,2016-02,60053,491596.906,2612.515384
154,zhongzhuang,54,,2016-03,101405,901043.268,4590.386282
155,zhongzhuang,54,,2016-04,137641,1193375.96,5760.894196
156,zhongzhuang,54,,2016-05,192538,1637077.481,7262.006848
157,zhongzhuang,54,,2016-06,142478,1237059.686,5694.983193
158,zhongzhuang,54,,2016-07,183184,1458166.813,7108.288412
159,zhongzhuang,54,,2016-08,193563,1631170.88,8128.778577
160,zhongzhuang,54,,2016-09,198734,1693713.027,8430.55766
161,zhongzhuang,54,,2016-10,223729,1937053.327,9388.252201
162,zhongzhuang,54,,2016-11,162697,1386333.458,7332.754912
163,zhongzhuang,54,,2016-12,193816,1487221.551,8754.882819
164,zhongzhuang,54,,2017-01,189194,1349404.709,7990.188161
165,zhongzhuang,54,,2017-02,131780,1065347.212,5557.25379
166,zhongzhuang,54,,2017-03,185235,1461749.953,7863.622826
167,zhongzhuang,54,,2017-04,192029,1432156.297,8061.845415
168,zhongzhuang,54,,2017-05,398658,3209979.249,16358.057652
169,zhongzhuang,54,,2017-06,238447,2115312.536,10145.182526
170,zhongzhuang,54,,2017-07,266547,2299310.435,11702.425633
171,zhongzhuang,54,,2017-08,340648,3109256.717,15270.856098
172,zhongzhuang,54,,2017-09,131193,1543295.056,6564.384805
173,zhongzhuang,55,,2015-04,3,9.0,0.019
174,zhongzhuang,55,,2015-06,1,1.0,0.01
175,zhongzhuang,55,,2015-07,78,354.0,2.4706
176,zhongzhuang,55,,2015-08,525,1969.5,16.1188
177,zhongzhuang,55,,2015-09,45,287.0,1.0434
178,zhongzhuang,55,,2015-10,156,1699.4,13.666399
179,zhongzhuang,55,,2015-11,304,2282.1,7.117499
180,zhongzhuang,55,,2015-12,207,2232.44,8.7108
181,zhongzhuang,55,,2016-01,430,3275.48,25.533698
182,zhongzhuang,55,,2016-02,453,4193.25,21.718598
183,zhongzhuang,55,,2016-03,479,3759.16,20.944799
184,zhongzhuang,55,,2016-04,848,12453.03,63.370799
185,zhongzhuang,55,,2016-05,2502,24162.31,80.389698
186,zhongzhuang,55,,2016-06,11823,64692.74,129.0582
187,zhongzhuang,55,,2016-07,3357,28106.23,58.540399
188,zhongzhuang,55,,2016-08,1445,8807.07,32.094156
189,zhongzhuang,55,,2016-09,5935,52177.521,170.105902
190,zhongzhuang,55,,2016-10,11036,86565.803,264.861824
191,zhongzhuang,55,,2016-11,4724,26777.07,96.9473
192,zhongzhuang,55,,2016-12,12906,91988.37,205.388268
193,zhongzhuang,55,,2017-01,1471,10459.31,56.337799
194,zhongzhuang,55,,2017-02,1980,18468.4,53.093499
195,zhongzhuang,55,,2017-03,7055,46608.508,120.847894
196,zhongzhuang,55,,2017-04,9254,58337.747,155.322098
197,zhongzhuang,55,,2017-05,106940,937568.624,3764.757841
198,zhongzhuang,55,,2017-06,54101,507358.278,2152.292909
199,zhongzhuang,55,,2017-07,58880,495353.104,2075.351647
200,zhongzhuang,55,,2017-08,149088,1524304.097,6504.156376
201,zhongzhuang,55,,2017-09,88801,839310.142,3752.297651
202,zhongzhuang,56,,,1506,17328.98,67.9008
203,zhongzhuang,56,,2015-01,4,46.5,0.1508
204,zhongzhuang,56,,2015-02,3,2.2,0.0196
205,zhongzhuang,56,,2015-03,58,107.36,0.5376
206,zhongzhuang,56,,2015-04,19,59.3,0.1645
207,zhongzhuang,56,,2015-05,32,203.5,1.2763
208,zhongzhuang,56,,2015-06,1997,14471.9,76.197397
209,zhongzhuang,56,,2015-07,818,7078.1,37.612499
210,zhongzhuang,56,,2015-08,356,2277.0,18.6143
211,zhongzhuang,56,,2015-09,10323,92363.1,439.224881
212,zhongzhuang,56,,2015-10,25977,230128.4,1122.11928
213,zhongzhuang,56,,2015-11,19635,169584.208,861.580776
214,zhongzhuang,56,,2015-12,36238,318837.846,1467.890659
215,zhongzhuang,56,,2016-01,34429,291564.201,1638.471147
216,zhongzhuang,56,,2016-02,22617,148889.595,735.529022
217,zhongzhuang,56,,2016-03,35365,291940.868,1430.665927
218,zhongzhuang,56,,2016-04,30922,275407.981,1363.42803
219,zhongzhuang,56,,2016-05,35638,281258.675,1469.937904
220,zhongzhuang,56,,2016-06,30605,265272.15,1309.210279
221,zhongzhuang,56,,2016-07,36893,299185.661,1417.74454
222,zhongzhuang,56,,2016-08,38424,336773.913,1565.332578
223,zhongzhuang,56,,2016-09,38901,319898.418,1493.602491
224,zhongzhuang,56,,2016-10,37934,298083.978,1608.721151
225,zhongzhuang,56,,2016-11,29847,254058.692,1288.051143
226,zhongzhuang,56,,2016-12,31000,236010.443,1197.685386
227,zhongzhuang,56,,2017-01,10515,87553.07,483.663309
228,zhongzhuang,56,,2017-02,22199,192710.649,1027.406883
229,zhongzhuang,56,,2017-03,38337,311471.044,1577.134552
230,zhongzhuang,56,,2017-04,31130,254375.102,1462.053279
231,zhongzhuang,56,,2017-05,34273,306963.296,1574.123407
232,zhongzhuang,56,,2017-06,24601,229962.935,1188.073974
233,zhongzhuang,56,,2017-07,35138,310748.373,1727.886304
234,zhongzhuang,56,,2017-08,118089,1401965.334,6113.924665
235,zhongzhuang,56,,2017-09,97083,1009327.598,4427.869892
236,zhongzhuang,57,,,2282,20393.5,78.581398
237,zhongzhuang,57,,2014-12,39,236.1,1.2361
238,zhongzhuang,57,,2015-01,121,722.06,4.1723
239,zhongzhuang,57,,2015-02,40,288.13,1.2719
240,zhongzhuang,57,,2015-03,9503,89940.75,409.463393
241,zhongzhuang,57,,2015-04,26,135.84,0.934399
242,zhongzhuang,57,,2015-05,3113,17112.54,107.2957
243,zhongzhuang,57,,2015-06,11126,66372.56,365.219394
244,zhongzhuang,57,,2015-07,24201,218919.986,995.088774
245,zhongzhuang,57,,2015-08,23352,212168.36,1054.960683
246,zhongzhuang,57,,2015-09,48511,411280.47,2081.852163
247,zhongzhuang,57,,2015-10,43180,370322.75,2032.614077
248,zhongzhuang,57,,2015-11,26514,224153.389,1267.43869
249,zhongzhuang,57,,2015-12,35397,302222.754,1499.914784
250,zhongzhuang,57,,2016-01,51595,419997.681,2212.274783
251,zhongzhuang,57,,2016-02,20727,171320.669,924.581466
252,zhongzhuang,57,,2016-03,47287,422571.336,1900.504142
253,zhongzhuang,57,,2016-04,37193,337160.007,1452.200979
