,pre_type,id,name,ds,numbox,weight,bulk
100,forward,52,,2017-08,107450,662968.651,2766.225419
101,forward,52,,2017-09,54982,325677.622,1445.533503
102,forward,53,,2014-12,33700,378935.298,2402.237349
103,forward,53,,2015-01,58661,621829.34,3913.46222
104,forward,53,,2015-02,49666,518124.9,3109.629871
105,forward,53,,2015-03,65081,717561.661,4561.678414
106,forward,53,,2015-04,87819,910634.406,6022.759109
107,forward,53,,2015-05,163353,1542267.7,9758.722307
108,forward,53,,2015-06,103138,976494.49,6140.847194
109,forward,53,,2015-07,75343,712583.4,4470.180017
110,forward,53,,2015-08,110469,1064911.8,6908.327664
111,forward,53,,2015-09,131460,1326944.0,8304.977585
112,forward,53,,2015-10,169709,1840032.7,12423.514253
113,forward,53,,2015-11,130850,1344329.03,8786.112726
114,forward,53,,2015-12,167409,1670569.8,10989.765673
115,forward,53,,2016-01,304752,2905931.75,18295.784039
116,forward,53,,2016-02,89533,923869.98,5504.498673
117,forward,53,,2016-03,200909,1825843.21,12013.894154
118,forward,53,,2016-04,197714,1733595.02,10573.404884
119,forward,53,,2016-05,321650,3003023.42,18276.303704
120,forward,53,,2016-06,185558,1758793.48,11412.388752
121,forward,53,,2016-07,124205,1203690.281,7833.389112
122,forward,53,,2016-08,179334,1684053.54,10865.918243
123,forward,53,,2016-09,246332,2207470.56,13973.512551
124,forward,53,,2016-10,381907,3484151.056,21922.510919
125,forward,53,,2016-11,223543,1960603.682,12694.091189
126,forward,53,,2016-12,301224,2515892.947,15637.098137
127,forward,53,,2017-01,278374,2425171.494,13938.07166
128,forward,53,,2017-02,175877,1615607.129,9546.115152
129,forward,53,,2017-03,300059,2853407.604,16777.09089
130,forward,53,,2017-04,329322,3077302.995,18095.567698
131,forward,53,,2017-05,504334,4885956.054,26963.48752
132,forward,53,,2017-06,292138,2694492.908,15165.255142
133,forward,53,,2017-07,263933,2550662.803,14575.80684
134,forward,53,,2017-08,347437,3266565.915,17982.895541
135,forward,53,,2017-09,156784,1426107.587,8436.286975
136,forward,54,,2014-12,48441,390212.45,1646.895095
137,forward,54,,2015-01,38712,354761.401,1617.428194
138,forward,54,,2015-02,27468,308875.632,1675.440792
139,forward,54,,2015-03,15983,143349.93,819.199284
140,forward,54,,2015-04,29105,236673.14,1347.45999
141,forward,54,,2015-05,45138,338346.75,2009.524886
142,forward,54,,2015-06,28583,259904.798,1531.993576
143,forward,54,,2015-07,24629,235160.05,1175.275191
144,forward,54,,2015-08,33488,366962.37,1850.709486
145,forward,54,,2015-09,48142,377544.26,2549.665587
146,forward,54,,2015-10,88766,744714.439,4259.101076
147,forward,54,,2015-11,40075,285949.18,1473.375984
148,forward,54,,2015-12,65675,566405.47,2402.239782
149,forward,54,,2016-01,95084,666528.94,3582.981887
150,forward,54,,2016-02,28581,167863.33,1002.503518
151,forward,54,,2016-03,61164,404075.49,2234.966728
152,forward,54,,2016-04,51561,333187.94,1667.194079
153,forward,54,,2016-05,93137,548592.74,3002.960158
154,forward,54,,2016-06,64642,451446.66,1893.379545
155,forward,54,,2016-07,38207,269223.11,1302.423896
156,forward,54,,2016-08,51038,333802.82,1708.7407
157,forward,54,,2016-09,61431,385891.34,2287.193903
158,forward,54,,2016-10,137688,1017886.82,5386.239735
159,forward,54,,2016-11,76691,520831.1,2454.26684
160,forward,54,,2016-12,119831,912341.569,4491.887252
161,forward,54,,2017-01,93874,610300.74,3081.97706
162,forward,54,,2017-02,66868,465626.77,2418.988621
163,forward,54,,2017-03,101676,707655.23,3452.877201
164,forward,54,,2017-04,99758,770848.84,3810.962947
165,forward,54,,2017-05,165649,1302788.59,6267.884955
166,forward,54,,2017-06,98500,786620.52,3419.875053
167,forward,54,,2017-07,89421,680073.388,2977.667556
168,forward,54,,2017-08,102005,772283.519,3772.932193
169,forward,54,,2017-09,40676,304612.06,1487.620171
170,forward,55,,2015-01,11,26.0,0.2822
171,forward,55,,2015-05,525,1435.0,14.0729
172,forward,55,,2015-06,843,4763.0,31.7509
173,forward,55,,2015-07,251,2542.8,30.0058
174,forward,55,,2015-08,416,2552.52,20.501
175,forward,55,,2015-09,818,6547.3,40.859094
176,forward,55,,2015-10,2890,22603.4,169.413699
177,forward,55,,2015-11,2797,28318.0,146.261699
178,forward,55,,2015-12,8331,75850.9,188.0172
179,forward,55,,2016-01,12177,128336.078,492.994439
180,forward,55,,2016-02,992,12805.51,55.8268
181,forward,55,,2016-03,1947,26763.59,66.78075
182,forward,55,,2016-04,3791,46014.749,211.764749
183,forward,55,,2016-05,5997,49371.06,191.36148
184,forward,55,,2016-06,6676,71181.32,204.9137
185,forward,55,,2016-07,4066,51925.4,173.775955
186,forward,55,,2016-08,7791,71011.049,303.93209
187,forward,55,,2016-09,8944,93648.718,529.819463
188,forward,55,,2016-10,19313,143342.19,620.707864
189,forward,55,,2016-11,11314,98742.0,451.912297
190,forward,55,,2016-12,34406,290734.5,1159.141693
191,forward,55,,2017-01,19900,176534.679,940.721494
192,forward,55,,2017-02,7579,91162.739,551.257299
193,forward,55,,2017-03,14629,142379.25,860.33559
194,forward,55,,2017-04,18272,148537.12,728.792173
195,forward,55,,2017-05,41957,295393.509,1379.349091
196,forward,55,,2017-06,25000,194043.209,690.941585
197,forward,55,,2017-07,18716,171408.678,599.708571
198,forward,55,,2017-08,21194,193904.936,1012.541478
199,forward,55,,2017-09,8613,75426.511,405.451397
200,forward,56,,2014-12,159,1035.05,4.584898
201,forward,56,,2015-01,688,4337.89,21.5044
202,forward,56,,2015-02,579,5658.44,17.572999
203,forward,56,,2015-03,1250,12740.02,51.277098
204,forward,56,,2015-04,1912,13789.37,58.955096
205,forward,56,,2015-05,6122,19024.0,174.887096
206,forward,56,,2015-06,2961,18583.3,202.211198
207,forward,56,,2015-07,7469,63733.84,354.050694
208,forward,56,,2015-08,4730,28746.22,260.562597
209,forward,56,,2015-09,25183,194024.7,1118.817798
210,forward,56,,2015-10,47988,600116.01,1951.202296
211,forward,56,,2015-11,17429,120653.86,640.95649
212,forward,56,,2015-12,26232,351363.12,1310.736098
213,forward,56,,2016-01,40276,460524.767,1933.522127
214,forward,56,,2016-02,18204,175730.578,602.012314
215,forward,56,,2016-03,14467,95121.335,571.913648
216,forward,56,,2016-04,47610,310019.438,1332.778056
217,forward,56,,2016-05,126544,1045318.995,4393.740369
218,forward,56,,2016-06,28649,413781.106,1379.933194
219,forward,56,,2016-07,7447,74741.785,312.090347
220,forward,56,,2016-08,8144,65077.515,287.837189
221,forward,56,,2016-09,23958,134647.937,885.918807
222,forward,56,,2016-10,37131,234341.83,1306.313394
223,forward,56,,2016-11,24554,205362.02,893.170997
224,forward,56,,2016-12,33387,278088.19,1160.298497
225,forward,56,,2017-01,42691,388775.466,1737.180293
226,forward,56,,2017-02,25031,201747.657,976.86999
227,forward,56,,2017-03,22384,208433.487,905.550299
228,forward,56,,2017-04,25834,232238.369,876.04699
229,forward,56,,2017-05,85321,665948.65,1959.913796
230,forward,56,,2017-06,34350,272753.138,1196.524888
231,forward,56,,2017-07,39363,332368.121,1019.598493
232,forward,56,,2017-08,46898,380701.925,1272.006692
233,forward,56,,2017-09,22244,196420.773,742.699195
234,forward,57,,2014-12,12785,104870.5,489.083898
235,forward,57,,2015-01,16292,108382.0,555.005999
236,forward,57,,2015-02,9561,89442.0,326.563899
237,forward,57,,2015-03,16217,116532.8,618.264094
238,forward,57,,2015-04,42745,284095.0,850.844994
239,forward,57,,2015-05,30463,242355.1,906.703693
240,forward,57,,2015-06,19785,177234.18,696.239098
241,forward,57,,2015-07,19350,170639.9,743.241797
242,forward,57,,2015-08,21321,167155.98,720.234984
243,forward,57,,2015-09,35825,309772.8,1079.512789
244,forward,57,,2015-10,56044,469770.04,1590.410394
245,forward,57,,2015-11,40399,327869.41,1253.792793
246,forward,57,,2015-12,40484,318968.977,1424.720999
247,forward,57,,2016-01,184070,838988.24,2681.55134
248,forward,57,,2016-02,18957,155198.74,537.217908
249,forward,57,,2016-03,38415,382387.78,1272.810802
250,forward,57,,2016-04,71112,374533.34,1046.325072
251,forward,57,,2016-05,88577,700520.08,2390.60784
252,forward,57,,2016-06,79818,530230.58,2070.721144
253,forward,57,,2016-07,111869,409018.34,1160.632177
254,forward,57,,2016-08,55287,391197.96,1426.844128
255,forward,57,,2016-09,82907,569553.56,2053.372008
256,forward,57,,2016-10,119290,845087.7,3344.674991
257,forward,57,,2016-11,84549,670981.05,2568.026148
258,forward,57,,2016-12,136107,1103925.19,4210.306782
259,forward,57,,2017-01,195575,1388395.65,5548.031526
260,forward,57,,2017-02,63007,487802.53,1769.293172
261,forward,57,,2017-03,82957,635990.7,2198.938228
262,forward,57,,2017-04,72063,551863.5,2017.012446
263,forward,57,,2017-05,138621,1108363.829,4067.292212
264,forward,57,,2017-06,79226,671191.15,2309.763437
265,forward,57,,2017-07,81744,652249.31,2165.882881
266,forward,57,,2017-08,105123,822389.2,3259.056744
267,forward,57,,2017-09,53674,408203.89,1317.102716
268,forward,355,,2015-07,1870,14379.8,96.713598
269,forward,355,,2015-08,9829,96025.5,578.680489
270,forward,355,,2015-09,25925,290061.4,1651.464281
271,forward,355,,2015-10,74541,606070.0,3355.70198
272,forward,355,,2015-11,57503,520954.36,2916.507671
273,forward,355,,2015-12,85175,717244.269,4103.052974
274,forward,355,,2016-01,197141,1340744.227,7333.079685
275,forward,355,,2016-02,36476,260767.51,1425.718113
276,forward,355,,2016-03,89535,743792.062,4098.698206
277,forward,355,,2016-04,92756,728733.92,4005.663343
278,forward,355,,2016-05,151025,1170438.82,6457.357294
279,forward,355,,2016-06,99154,970454.642,4843.501459
280,forward,355,,2016-07,82439,729388.138,4324.938297
281,forward,355,,2016-08,122602,977845.469,5429.878651
282,forward,355,,2016-09,170756,1331711.882,7533.90411
283,forward,355,,2016-10,249799,1635094.992,10417.006564
284,forward,355,,2016-11,125197,1210286.548,6140.335642
285,forward,355,,2016-12,72724,586190.292,3440.530367
286,forward,379,,2016-03,1056,10732.45,39.182308
287,forward,379,,2016-04,8091,111164.183,437.636396
288,forward,379,,2016-05,9881,124320.199,642.072898
289,forward,379,,2016-06,27169,217765.059,794.802798
290,forward,379,,2016-07,35696,301067.789,808.162699
291,forward,379,,2016-08,14094,138621.34,447.0189
292,forward,379,,2016-09,28479,263538.296,927.05969
293,forward,379,,2016-10,25565,239498.619,1338.998018
294,forward,379,,2016-11,10777,147105.14,849.906247
295,forward,379,,2016-12,33512,329638.731,1130.61796
296,forward,379,,2017-01,37832,393088.14,1605.736161
297,forward,379,,2017-02,8661,103661.62,569.430388
298,forward,379,,2017-03,20116,189806.277,1013.133067
299,forward,379,,2017-04,19554,207228.72,1219.509595
300,forward,379,,2017-05,73143,722398.818,2626.08419
301,forward,379,,2017-06,30479,344949.521,1739.774131
302,forward,379,,2017-07,29270,347939.46,1688.449819
303,forward,379,,2017-08,44026,421100.628,2059.087573
304,forward,379,,2017-09,23265,241698.81,1210.357775
305,forward,388,,2016-04,1760,17930.43,65.147095
306,forward,388,,2016-05,4778,50635.516,310.31202
307,forward,388,,2016-06,7112,59489.601,209.536014
308,forward,388,,2016-07,1872,14284.217,65.258567
309,forward,388,,2016-08,2884,24772.406,115.212062
310,forward,388,,2016-09,5701,39367.335,209.590657
311,forward,388,,2016-10,11317,90138.77,453.67807
312,forward,388,,2016-11,7643,74385.884,386.939156
313,forward,388,,2016-12,16562,129447.769,412.011223
314,forward,388,,2017-01,9030,97300.824,338.455115
315,forward,388,,2017-02,8687,66562.247,294.154573
316,forward,388,,2017-03,9779,92487.805,503.732338
317,forward,388,,2017-04,9046,84775.167,519.366304
318,forward,388,,2017-05,17904,151008.574,961.770387
319,forward,388,,2017-06,9772,87399.899,560.054688
320,forward,388,,2017-07,7764,69845.842,565.48769
321,forward,388,,2017-08,7323,69329.987,451.636086
322,forward,388,,2017-09,4684,45199.398,287.742693
323,forward,389,,2016-03,306,2630.5,11.7827
324,forward,389,,2016-04,1113,15560.59,59.6018
325,forward,389,,2016-05,405,4200.45,17.25
326,forward,389,,2016-06,314,4168.3,13.3914
327,forward,389,,2016-07,25,370.77,1.3593
328,forward,389,,2016-08,157,1209.56,4.181372
329,forward,389,,2016-09,635,5095.87,25.8682
330,forward,389,,2016-10,713,5640.06,31.1318
331,forward,389,,2016-11,426,1141.0,21.1105
332,forward,389,,2016-12,640,3500.0,34.9747
333,forward,389,,2017-02,77,770.0,4.2078
334,forward,389,,2017-03,120,1800.0,6.5467
335,forward,389,,2017-04,397,5955.0,23.3134
336,forward,389,,2017-05,446,6690.0,27.7646
337,forward,389,,2017-07,682,9845.0,40.2704
338,forward,389,,2017-08,576,8640.0,40.1497
339,forward,389,,2017-09,715,10725.0,38.9726
340,forward,390,,2016-02,67,408.5,2.0492
341,forward,390,,2016-03,3029,46903.5,102.7624
342,forward,390,,2016-04,2826,38909.695,81.4659
343,forward,390,,2016-05,1067,9658.5,37.3616
344,forward,390,,2016-06,431,3644.25,24.1067
345,forward,390,,2016-07,169,2096.7,7.5836
346,forward,390,,2016-08,546,4183.55,30.7084
347,forward,390,,2016-09,959,5973.23,59.499
348,forward,390,,2016-10,738,8317.74,40.1655
349,forward,390,,2016-11,743,9604.4,39.676536
350,forward,390,,2016-12,1036,10612.98,63.0376
351,forward,390,,2017-01,1339,10822.3,72.3034
352,forward,390,,2017-02,941,10387.45,47.1115
353,forward,390,,2017-03,1011,11162.6,54.7434
354,forward,390,,2017-04,346,3659.3,18.0007
355,forward,390,,2017-05,2001,21018.35,120.5616
356,forward,390,,2017-06,423,3996.474,18.0184
357,forward,390,,2017-07,731,6568.13,34.4023
358,forward,390,,2017-08,1088,15825.769,90.3899
359,forward,390,,2017-09,1985,17571.41,105.8682
360,forward,391,,2016-05,1574,25897.97,87.741881
361,forward,391,,2016-06,1340,23180.0,64.832653
362,forward,391,,2016-07,5646,52114.74,216.989176
363,forward,391,,2016-08,1478,22549.0,79.89703
364,forward,391,,2016-09,1897,29177.5,111.943
365,forward,391,,2016-10,2806,37507.0,109.5385
366,forward,391,,2016-11,5196,90581.9,338.679199
367,forward,391,,2016-12,14919,55401.7,594.835911
368,forward,391,,2017-01,33881,132976.01,1095.314416
369,forward,391,,2017-02,6712,37504.3,197.14206
370,forward,391,,2017-03,31038,152023.84,917.659499
371,forward,391,,2017-04,42849,167508.02,1251.189996
372,forward,391,,2017-05,50676,143902.84,1278.093199
373,forward,391,,2017-06,5291,72453.5,323.858898
374,forward,391,,2017-07,20058,107920.61,651.1471
375,forward,391,,2017-08,68670,196900.199,1723.816698
376,forward,391,,2017-09,4550,46658.35,235.0243
377,forward,392,,2016-02,3492,36181.0,153.3174
378,forward,392,,2016-03,4037,44176.035,200.121475
379,forward,392,,2016-04,3399,35994.0,158.491774
380,forward,392,,2016-05,11316,66867.6,311.26542
381,forward,392,,2016-06,2729,25204.7,139.579894
382,forward,392,,2016-07,10994,38893.65,242.941824
383,forward,392,,2016-08,10741,79018.65,203.255016
384,forward,392,,2016-09,15206,103574.23,393.388476
385,forward,392,,2016-10,14659,67314.7,379.658082
386,forward,392,,2016-11,1074,13569.97,44.0578
387,forward,392,,2016-12,2628,26717.89,145.05779
388,forward,392,,2017-01,7460,92981.76,226.4
389,forward,392,,2017-02,3424,33649.86,181.523398
390,forward,392,,2017-03,6432,65272.5,315.534908
391,forward,392,,2017-04,3820,40023.576,154.1732
392,forward,392,,2017-05,11124,99031.7,468.9141
393,forward,392,,2017-06,3322,33810.618,161.397797
394,forward,392,,2017-07,6086,55809.45,291.84221
395,forward,392,,2017-08,6962,64882.73,345.252126
